args.seed :  0
args.device :  cuda:3
args.train:  True
args.infer:  False
args.file_path:  /home/emforce77/TabFormer-main/modular_regression/multiple_scenario_data_fin2.xml
Data dimension: 300, Max sequence length: 30, num_intent : 7
expanded_train_data_num 9663
expanded_val_data_num 2040
expanded_test_data_num 2050
Data Split Over
col_dim 5 region_len 60 sequence_len 30 num_classes 445
Filtered data count: 111
train_loader
create_model
The model has 2,995,955 trainable parameters
trainer
Epoch [1/300], Loss: 403.5130, Val Loss: 369.3407, MAE: 8.3931, RMSE: 19.1785, Non-zero MAE: 26.3597, Non-zero RMSE: 40.4386, Sequence Accuracy: 0.5265, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.1407
Epoch [2/300], Loss: 382.8588, Val Loss: 369.1232, MAE: 8.3666, RMSE: 19.1715, Non-zero MAE: 26.4037, Non-zero RMSE: 40.4145, Sequence Accuracy: 0.5263, Non-zero Accuracy: 0.0158, Intent Accuracy: 0.1328
Epoch [3/300], Loss: 382.7408, Val Loss: 369.1477, MAE: 8.3123, RMSE: 19.1728, Non-zero MAE: 26.5755, Non-zero RMSE: 40.5386, Sequence Accuracy: 0.5260, Non-zero Accuracy: 0.0142, Intent Accuracy: 0.1328
Epoch [4/300], Loss: 381.9128, Val Loss: 369.1877, MAE: 8.3991, RMSE: 19.1745, Non-zero MAE: 26.3270, Non-zero RMSE: 40.3702, Sequence Accuracy: 0.5265, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1328
Epoch [5/300], Loss: 383.4519, Val Loss: 369.1913, MAE: 8.3472, RMSE: 19.1737, Non-zero MAE: 26.4925, Non-zero RMSE: 40.4975, Sequence Accuracy: 0.5263, Non-zero Accuracy: 0.0154, Intent Accuracy: 0.1328
Epoch [6/300], Loss: 382.9824, Val Loss: 369.1882, MAE: 8.4089, RMSE: 19.1736, Non-zero MAE: 26.2923, Non-zero RMSE: 40.3532, Sequence Accuracy: 0.5265, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.1407
Epoch [7/300], Loss: 382.6276, Val Loss: 369.1478, MAE: 8.3824, RMSE: 19.1726, Non-zero MAE: 26.3662, Non-zero RMSE: 40.4100, Sequence Accuracy: 0.5264, Non-zero Accuracy: 0.0163, Intent Accuracy: 0.1328
Epoch [8/300], Loss: 382.6457, Val Loss: 369.1856, MAE: 8.3802, RMSE: 19.1728, Non-zero MAE: 26.3889, Non-zero RMSE: 40.4136, Sequence Accuracy: 0.5264, Non-zero Accuracy: 0.0162, Intent Accuracy: 0.1569
Epoch [9/300], Loss: 383.0200, Val Loss: 369.0953, MAE: 8.4927, RMSE: 19.1694, Non-zero MAE: 26.0297, Non-zero RMSE: 40.1001, Sequence Accuracy: 0.5243, Non-zero Accuracy: 0.0168, Intent Accuracy: 0.1343
Epoch [10/300], Loss: 378.1944, Val Loss: 358.4195, MAE: 8.3970, RMSE: 18.8994, Non-zero MAE: 25.4273, Non-zero RMSE: 39.5782, Sequence Accuracy: 0.5106, Non-zero Accuracy: 0.0172, Intent Accuracy: 0.2613
Epoch [11/300], Loss: 355.3878, Val Loss: 343.1994, MAE: 8.0139, RMSE: 18.5032, Non-zero MAE: 25.4676, Non-zero RMSE: 39.2714, Sequence Accuracy: 0.4917, Non-zero Accuracy: 0.0139, Intent Accuracy: 0.4412
Epoch [12/300], Loss: 339.4684, Val Loss: 327.3548, MAE: 7.9725, RMSE: 18.0730, Non-zero MAE: 24.2627, Non-zero RMSE: 37.9837, Sequence Accuracy: 0.4740, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.3951
Epoch [13/300], Loss: 314.3139, Val Loss: 312.6990, MAE: 7.6469, RMSE: 17.6639, Non-zero MAE: 24.0222, Non-zero RMSE: 37.3315, Sequence Accuracy: 0.4747, Non-zero Accuracy: 0.0143, Intent Accuracy: 0.4534
