args.seed :  0
args.device :  cuda:0
args.train:  True
args.infer:  False
args.file_path:  /home/emforce77/TabFormer-main/modular_regression/multiple_scenario_data_fin2.xml
Data dimension: 300, Max sequence length: 30, num_intent : 7
Data Split Over
expanded_train_data_num 9663
expanded_val_data_num 2040
expanded_test_data_num 2050
col_dim 5 region_len 60 sequence_len 30 num_classes 445
Filtered data count: 111
train_loader
create_model
The model has 1,102,355 trainable parameters
trainer
Epoch [1/300], Loss: 446.2207, Val Loss: 421.2896, MAE: 7.1453, RMSE: 20.4800, Non-zero MAE: 32.8818, Non-zero RMSE: 45.8915, Sequence Accuracy: 0.4800, Non-zero Accuracy: 0.0002, Intent Accuracy: 0.1328
Epoch [2/300], Loss: 425.1585, Val Loss: 400.5274, MAE: 7.5269, RMSE: 19.9739, Non-zero MAE: 30.6985, Non-zero RMSE: 44.3904, Sequence Accuracy: 0.5130, Non-zero Accuracy: 0.0032, Intent Accuracy: 0.1564
Epoch [3/300], Loss: 407.0565, Val Loss: 387.1039, MAE: 7.9066, RMSE: 19.6342, Non-zero MAE: 28.7214, Non-zero RMSE: 43.0206, Sequence Accuracy: 0.5210, Non-zero Accuracy: 0.0098, Intent Accuracy: 0.1593
Epoch [4/300], Loss: 396.9292, Val Loss: 380.2608, MAE: 8.1630, RMSE: 19.4601, Non-zero MAE: 27.4738, Non-zero RMSE: 42.0721, Sequence Accuracy: 0.5181, Non-zero Accuracy: 0.0145, Intent Accuracy: 0.1314
Epoch [5/300], Loss: 392.2114, Val Loss: 376.4048, MAE: 8.2895, RMSE: 19.3624, Non-zero MAE: 26.8880, Non-zero RMSE: 41.5030, Sequence Accuracy: 0.5186, Non-zero Accuracy: 0.0170, Intent Accuracy: 0.1368
Epoch [6/300], Loss: 389.1549, Val Loss: 374.0312, MAE: 8.3606, RMSE: 19.3008, Non-zero MAE: 26.5692, Non-zero RMSE: 41.1434, Sequence Accuracy: 0.5140, Non-zero Accuracy: 0.0170, Intent Accuracy: 0.1368
Epoch [7/300], Loss: 387.0245, Val Loss: 372.8273, MAE: 8.3902, RMSE: 19.2663, Non-zero MAE: 26.4436, Non-zero RMSE: 40.9276, Sequence Accuracy: 0.5140, Non-zero Accuracy: 0.0169, Intent Accuracy: 0.1564
Epoch [8/300], Loss: 385.5133, Val Loss: 372.1809, MAE: 8.4086, RMSE: 19.2518, Non-zero MAE: 26.3731, Non-zero RMSE: 40.8076, Sequence Accuracy: 0.5140, Non-zero Accuracy: 0.0169, Intent Accuracy: 0.1328
Epoch [9/300], Loss: 386.4557, Val Loss: 371.8444, MAE: 8.4223, RMSE: 19.2434, Non-zero MAE: 26.3411, Non-zero RMSE: 40.7228, Sequence Accuracy: 0.5140, Non-zero Accuracy: 0.0170, Intent Accuracy: 0.1490
Epoch [10/300], Loss: 385.5888, Val Loss: 371.6633, MAE: 8.4192, RMSE: 19.2377, Non-zero MAE: 26.3648, Non-zero RMSE: 40.6897, Sequence Accuracy: 0.5139, Non-zero Accuracy: 0.0167, Intent Accuracy: 0.1564
Epoch [11/300], Loss: 384.8972, Val Loss: 371.5660, MAE: 8.4153, RMSE: 19.2367, Non-zero MAE: 26.3847, Non-zero RMSE: 40.6856, Sequence Accuracy: 0.5139, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1368
Epoch [12/300], Loss: 385.6217, Val Loss: 371.0455, MAE: 8.4256, RMSE: 19.2229, Non-zero MAE: 26.3206, Non-zero RMSE: 40.6047, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1328
Epoch [13/300], Loss: 384.8576, Val Loss: 370.8777, MAE: 8.4321, RMSE: 19.2182, Non-zero MAE: 26.2739, Non-zero RMSE: 40.5737, Sequence Accuracy: 0.5121, Non-zero Accuracy: 0.0170, Intent Accuracy: 0.1564
Epoch [14/300], Loss: 384.7680, Val Loss: 370.8202, MAE: 8.4210, RMSE: 19.2175, Non-zero MAE: 26.3118, Non-zero RMSE: 40.5914, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0167, Intent Accuracy: 0.1328
Epoch [15/300], Loss: 384.0234, Val Loss: 370.7900, MAE: 8.4190, RMSE: 19.2164, Non-zero MAE: 26.3095, Non-zero RMSE: 40.5871, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1490
Epoch [16/300], Loss: 385.1585, Val Loss: 370.7847, MAE: 8.4208, RMSE: 19.2165, Non-zero MAE: 26.3031, Non-zero RMSE: 40.5883, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1368
Epoch [17/300], Loss: 385.0423, Val Loss: 370.7712, MAE: 8.4077, RMSE: 19.2158, Non-zero MAE: 26.3400, Non-zero RMSE: 40.6139, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0164, Intent Accuracy: 0.1564
Epoch [18/300], Loss: 384.4758, Val Loss: 370.7716, MAE: 8.4211, RMSE: 19.2159, Non-zero MAE: 26.2981, Non-zero RMSE: 40.5805, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1490
Epoch [19/300], Loss: 384.0092, Val Loss: 370.7750, MAE: 8.4222, RMSE: 19.2163, Non-zero MAE: 26.2938, Non-zero RMSE: 40.5775, Sequence Accuracy: 0.5121, Non-zero Accuracy: 0.0167, Intent Accuracy: 0.1328
Epoch [20/300], Loss: 384.9441, Val Loss: 370.7679, MAE: 8.4189, RMSE: 19.2159, Non-zero MAE: 26.2992, Non-zero RMSE: 40.5867, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1368
Epoch [21/300], Loss: 384.4705, Val Loss: 370.7746, MAE: 8.4191, RMSE: 19.2161, Non-zero MAE: 26.3009, Non-zero RMSE: 40.5853, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1368
Epoch [22/300], Loss: 384.6643, Val Loss: 370.7670, MAE: 8.4213, RMSE: 19.2158, Non-zero MAE: 26.2906, Non-zero RMSE: 40.5800, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1490
Epoch [23/300], Loss: 385.7134, Val Loss: 370.7717, MAE: 8.4311, RMSE: 19.2162, Non-zero MAE: 26.2651, Non-zero RMSE: 40.5519, Sequence Accuracy: 0.5121, Non-zero Accuracy: 0.0168, Intent Accuracy: 0.1368
Epoch [24/300], Loss: 385.1249, Val Loss: 370.7768, MAE: 8.4197, RMSE: 19.2159, Non-zero MAE: 26.3027, Non-zero RMSE: 40.5836, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1490
Epoch [25/300], Loss: 384.7627, Val Loss: 370.7663, MAE: 8.4192, RMSE: 19.2163, Non-zero MAE: 26.3012, Non-zero RMSE: 40.5859, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0166, Intent Accuracy: 0.1490
Epoch [26/300], Loss: 385.0756, Val Loss: 370.7712, MAE: 8.4177, RMSE: 19.2160, Non-zero MAE: 26.3061, Non-zero RMSE: 40.5863, Sequence Accuracy: 0.5120, Non-zero Accuracy: 0.0165, Intent Accuracy: 0.1328
