args.seed :  0
args.device :  cuda:3
args.train:  True
args.infer:  False
args.file_path:  /home/emforce77/TabFormer-main/modular_regression/multiple_scenario_data_fin2.xml
Data dimension: 300, Max sequence length: 30, num_intent : 7
expanded_train_data_num 9663
expanded_val_data_num 2040
expanded_test_data_num 2050
Data Split Over
col_dim 5 region_len 60 sequence_len 30 num_classes 445
Filtered data count: 111
train_loader
create_model
The model has 27,761,999 trainable parameters
trainer
Epoch [1/300], Loss: 342.3654, Val Loss: 257.6028, MAE: 6.7972, RMSE: 16.0494, Non-zero MAE: 21.8961, Non-zero RMSE: 33.6538, Sequence Accuracy: 0.5198, Non-zero Accuracy: 0.0169, Intent Accuracy: 0.8466
Epoch [2/300], Loss: 234.6436, Val Loss: 200.2765, MAE: 6.1117, RMSE: 14.1517, Non-zero MAE: 20.2955, Non-zero RMSE: 29.4945, Sequence Accuracy: 0.5403, Non-zero Accuracy: 0.0131, Intent Accuracy: 0.8564
Epoch [3/300], Loss: 196.8670, Val Loss: 186.7411, MAE: 5.9106, RMSE: 13.6646, Non-zero MAE: 20.0728, Non-zero RMSE: 28.5770, Sequence Accuracy: 0.5290, Non-zero Accuracy: 0.0105, Intent Accuracy: 0.8525
Epoch [4/300], Loss: 189.5193, Val Loss: 183.7261, MAE: 5.8571, RMSE: 13.5541, Non-zero MAE: 20.0179, Non-zero RMSE: 28.4233, Sequence Accuracy: 0.5265, Non-zero Accuracy: 0.0098, Intent Accuracy: 0.8828
Epoch [5/300], Loss: 187.8907, Val Loss: 184.1276, MAE: 5.9436, RMSE: 13.5684, Non-zero MAE: 19.9239, Non-zero RMSE: 28.3780, Sequence Accuracy: 0.5074, Non-zero Accuracy: 0.0115, Intent Accuracy: 0.8809
Epoch [6/300], Loss: 186.1195, Val Loss: 182.3079, MAE: 5.9553, RMSE: 13.5022, Non-zero MAE: 19.6378, Non-zero RMSE: 28.0274, Sequence Accuracy: 0.5161, Non-zero Accuracy: 0.0109, Intent Accuracy: 0.8833
Epoch [7/300], Loss: 185.3376, Val Loss: 182.3263, MAE: 5.9100, RMSE: 13.5024, Non-zero MAE: 19.8008, Non-zero RMSE: 28.1374, Sequence Accuracy: 0.5031, Non-zero Accuracy: 0.0101, Intent Accuracy: 0.8647
Epoch [8/300], Loss: 184.8326, Val Loss: 182.9827, MAE: 6.0302, RMSE: 13.5263, Non-zero MAE: 19.5828, Non-zero RMSE: 27.9997, Sequence Accuracy: 0.4834, Non-zero Accuracy: 0.0112, Intent Accuracy: 0.8505
Epoch [9/300], Loss: 184.8200, Val Loss: 182.5284, MAE: 5.9572, RMSE: 13.5105, Non-zero MAE: 19.6201, Non-zero RMSE: 28.0451, Sequence Accuracy: 0.5179, Non-zero Accuracy: 0.0113, Intent Accuracy: 0.8642
Epoch [10/300], Loss: 182.7042, Val Loss: 179.9045, MAE: 6.0292, RMSE: 13.4128, Non-zero MAE: 19.4235, Non-zero RMSE: 27.7608, Sequence Accuracy: 0.4787, Non-zero Accuracy: 0.0108, Intent Accuracy: 0.8515
Epoch [11/300], Loss: 181.7445, Val Loss: 180.6328, MAE: 5.9773, RMSE: 13.4385, Non-zero MAE: 19.3738, Non-zero RMSE: 27.7959, Sequence Accuracy: 0.4896, Non-zero Accuracy: 0.0109, Intent Accuracy: 0.8510
